ID,Name,Concepticon_ID,Concepticon_Gloss
1,I,1209,
2,you,1215,
3,we,1212,
4,this,,
5,that,,
6,who,,
7,what,,
8,not,,
9,all,,
10,many,,
11,one,1493,
12,two,1498,
13,big,,
14,long,,
15,small,,
16,woman,,
17,man,,
18,person,683,
19,fish,227,
20,bird,,
21,dog,2009,
22,louse,1392,
23,tree,906,
24,seed,,
25,leaf,628,
26,root,,
27,bark,,
28,skin,763,
29,flesh,,
30,blood,946,
31,bone,1394,
32,grease,,
33,egg,,
34,horn,1393,
35,tail,,
36,feather,,
37,hair,,
38,head,,
39,ear,1247,
40,eye,1248,
41,nose,1221,
42,mouth,,
43,tooth,1380,
44,tongue,1205,
45,claw,,
46,foot,,
47,knee,1371,
48,hand,1277,
49,belly,,
50,neck,,
51,breast,1402,
52,heart,,
53,liver,1224,
54,drink,1401,
55,eat,,
56,bite,,
57,see,1409,
58,hear,1408,
59,know,,
60,sleep,,
61,die,1494,
62,kill,,
63,swim,,
64,fly,,
65,walk,,
66,come,1446,
67,lie,,
68,sit,,
69,stand,,
70,give,,
71,say,,
72,sun,1343,
73,moon,,
74,star,1430,
75,water,948,
76,rain,,
77,stone,857,
78,sand,,
79,earth,,
80,cloud,,
81,smoke,,
82,fire,221,
83,ash,,
84,burn,,
85,path,2252,
86,mountain,639,
87,red,,
88,green,,
89,yellow,,
90,white,,
91,black,,
92,night,1233,
93,hot,,
94,cold,,
95,full,1429,
96,new,1231,
97,good,,
98,round,,
99,dry,,
100,name,1405,
